http://www.bbc.co.uk/programmes/genres/sport/disabilitysport/winterparalympics	urn:tva:metadata:cs:ContentCS:2007:3.2.24	urn:tva:metadata:cs:ContentCS:2007:3.2.7	urn:tva:metadata:cs:ContentCS:2007:3.1.9.12
http://www.bbc.co.uk/programmes/genres/sport/weightlifting	urn:tva:metadata:cs:ContentCS:2007:3.2.13.5
http://www.bbc.co.uk/programmes/genres/music/rockandindie/experimentalandnew	urn:tva:metadata:cs:ContentCS:2007:3.6.4.14.7
http://www.bbc.co.uk/programmes/genres/sport/squash	urn:tva:metadata:cs:ContentCS:2007:3.2.4.5
http://www.bbc.co.uk/programmes/genres/sport/judo	urn:tva:metadata:cs:ContentCS:2007:3.2.5.3
http://www.bbc.co.uk/programmes/genres/sport/rugbyunion	urn:tva:metadata:cs:ContentCS:2007:3.2.3.19.1
http://www.bbc.co.uk/programmes/genres/music/jazzandblues/jazz	urn:tva:metadata:cs:ContentCS:2007:3.6.2
http://www.bbc.co.uk/programmes/genres/factual/crimeandjustice	urn:tva:metadata:cs:ContentCS:2007:3.1.3.4
http://www.bbc.co.uk/programmes/genres/music/country/experimentalandnew	urn:tva:metadata:cs:ContentCS:2007:3.6.6
http://www.bbc.co.uk/programmes/genres/music/world/europe	urn:tva:metadata:cs:ContentCS:2007:3.6.9.5
http://www.bbc.co.uk/programmes/genres/music/desi/bhangra
http://www.bbc.co.uk/programmes/genres/music/desi
http://www.bbc.co.uk/programmes/genres/music/soulandreggae/experimentalandnew	urn:tva:metadata:cs:ContentCS:2007:3.6.5.3	urn:tva:metadata:cs:ContentCS:2007:3.6.7.3
http://www.bbc.co.uk/programmes/genres/music/danceandelectronica/soulfulhouse	urn:tva:metadata:cs:ContentCS:2007:3.6.8.16.7
http://www.bbc.co.uk/programmes/genres/sport/sailing	urn:tva:metadata:cs:ContentCS:2007:3.2.6.8
http://www.bbc.co.uk/programmes/genres/music/danceandelectronica/drumandbass	urn:tva:metadata:cs:ContentCS:2007:3.6.8.11
